"","destination","series","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia, Plurinational State of","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Chile","China","Colombia","Comoros","Congo, Democratic Republic of the","Congo","Cook Islands","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Fiji","Finland","France","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Grenada","Guadeloupe","Guam","Guatemala","Guinea-Bissau","Guinea","Guyana","Haiti","Honduras","Hong Kong, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Republic of","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Democratic Peoples Republic of","Korea, Republic of","Kuwait","Kyrgyzstan","Lao People's Democratic Republic","Latvia","Lebanon","Lesotho","Liberia","Libyan Arab Jamahiriya","Liechtenstein","Lithuania","Luxembourg","Macao, China","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mexico","Micronesia (Federated States Of)","Moldova, Republic of","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","North Macedonia","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Palestine, State of","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Saint Lucia","Samoa","San Marino","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Taiwan, Province of China","Tajikistan","Thailand","Timor-Leste","Togo","Tonga","Tunisia","Turkey","Turkmenistan","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States Virgin Islands","United States of America","Uruguay","Uzbekistan","Vanuatu","Venezuela, Bolivarian Republic of","Viet Nam","Yemen","Zambia","Zimbabwe"
"87","Kyrgyzstan","VFR","1","2","2","4","3","1","3","3","1","3","4","1","3","2","3","2","3","1","2","3","1","1","1","3","3","1","2","3","2","2","3","4","3","1","3","3","3","2","4","3","4","2","1","4","1","3","1","1","2","3","1","1","4","4","3","2","3","4","2","1","3","2","3","4","4","4","3","2","3","2","1","2","2","3","4","1","1","3","2","1","4","4","2","2","3","4","3","1","2","1","4","1","4","3","3","4","1","4","1","4","3","4","3","1","3","1","3","1","4","2","3","3","3","1","4","1","3","4","2","3","1","2","3","2","4","4","1","4","4","1","1","2","4","3","1","2","1","1","4","1","3","4","2","2","1","3","3","1","2","1","3","4","4","4","1","1","4","1","1","2","4","2","1","1","3","1","2","3","3","4","4","2","4","3","2","4","4","1","1","1","2","4","3","1","4","4","1","1","3","4","2","4","2","1","1","2","2","3","1","2","3","1","1","4","4","3","3","3"
"88","Lao People's Democratic Republic","VFN","1","4","4","1","4","3","1","3","4","2","2","4","2","4","3","4","3","1","1","4","4","3","1","3","2","2","3","4","3","1","2","1","2","4","3","3","2","1","4","1","4","1","3","1","1","4","1","3","1","4","2","3","3","2","1","1","2","3","2","2","2","3","3","2","2","1","4","1","2","4","4","3","2","3","2","1","1","3","3","3","2","3","1","2","4","2","3","4","1","4","2","4","2","1","4","4","2","2","2","4","3","1","4","2","1","2","4","3","3","1","1","1","4","3","1","4","2","2","3","3","1","1","2","2","4","1","2","4","4","1","2","1","2","2","1","2","1","4","1","3","4","2","3","1","2","1","1","4","3","2","2","2","2","4","3","2","1","3","1","3","1","1","2","3","4","1","2","2","4","4","2","4","2","2","4","2","2","1","1","1","4","2","1","4","4","4","2","1","2","4","1","4","1","2","3","4","3","4","2","1","3","4","4","1","4","2","2","3"
"89","Latvia","VFR","3","3","3","2","2","2","3","2","3","1","1","3","2","2","3","4","4","4","1","3","2","1","1","1","2","1","3","2","3","1","1","3","4","2","4","1","2","4","1","3","1","2","4","3","1","1","1","1","3","4","1","4","1","2","3","3","3","4","4","1","3","3","2","1","4","1","2","1","3","1","2","1","3","1","1","1","2","3","2","3","2","2","2","2","1","1","1","2","4","3","3","3","2","4","3","1","2","4","2","2","1","2","4","4","2","4","4","3","3","4","1","3","4","4","1","4","4","1","2","1","2","2","2","3","1","4","2","3","1","1","4","4","3","1","1","2","3","2","4","3","4","3","1","1","2","4","1","3","3","2","3","4","2","2","3","1","3","3","2","3","4","2","3","4","3","3","1","2","4","3","2","2","4","4","3","4","1","4","2","3","1","3","3","3","2","4","1","4","4","3","2","2","1","4","4","4","3","3","2","4","1","3","1","1","4","2","1","1"
"90","Lebanon","TFN","4","3","4","2","1","2","4","3","1","2","2","4","3","2","1","2","4","1","2","4","1","1","2","4","3","2","1","3","1","1","3","4","4","4","3","1","4","3","4","1","3","3","2","1","2","4","4","3","4","3","2","1","3","3","1","1","2","3","4","1","2","4","1","1","2","1","1","3","1","4","2","1","3","2","3","3","1","2","1","4","4","2","3","4","3","1","2","4","1","4","2","1","3","1","2","2","4","1","4","2","1","3","1","2","1","1","2","1","2","3","1","3","3","4","2","3","4","2","2","1","2","3","1","2","2","3","4","2","3","3","3","2","3","2","3","4","4","2","3","1","3","2","4","4","1","1","4","1","2","3","1","3","4","3","1","3","4","3","2","1","3","3","1","3","4","1","4","1","4","4","2","3","4","3","1","3","3","1","3","3","1","4","4","1","3","4","4","2","4","2","4","1","3","2","4","1","1","4","3","3","2","4","4","3","4","1","4","1"
"91","Lesotho","VFR","4","2","4","4","3","2","2","3","1","1","2","3","2","3","4","4","4","4","4","1","4","4","2","1","4","2","3","2","2","1","1","3","1","2","2","3","1","2","1","4","3","2","3","3","4","4","1","2","4","4","4","4","1","3","4","2","2","1","1","3","4","3","2","2","4","4","4","3","2","1","4","3","2","3","3","3","1","2","3","4","1","2","3","4","3","3","1","3","1","1","3","2","2","4","2","4","3","3","2","1","2","2","2","3","4","2","2","1","1","4","1","2","2","2","3","2","3","2","2","2","1","3","1","4","2","2","3","1","4","2","2","4","4","1","1","2","3","2","3","2","3","4","4","3","3","1","2","4","4","3","4","4","1","4","4","1","4","2","2","1","1","2","2","1","2","2","2","3","3","4","1","1","2","4","1","1","1","3","4","1","4","4","4","4","3","4","3","4","2","1","4","1","4","1","4","3","2","1","3","3","4","2","1","3","4","1","1","4"
"92","Liechtenstein","THSR","4","2","3","4","4","2","2","1","3","1","3","3","1","1","1","1","3","2","1","1","2","4","1","2","4","3","2","3","4","3","2","1","4","1","1","4","2","1","3","3","3","4","2","2","4","3","2","1","3","4","1","4","2","1","3","1","2","4","3","4","3","2","1","2","4","2","4","2","2","1","4","3","2","1","3","2","2","2","2","1","1","4","3","2","2","1","2","2","3","2","1","3","3","3","4","1","1","3","1","2","2","4","1","2","2","1","2","2","2","4","4","2","3","4","1","1","4","2","2","4","1","2","1","3","2","2","2","3","1","2","3","4","3","3","4","1","1","2","1","4","2","2","2","1","1","4","2","4","2","2","1","1","1","3","4","1","2","1","1","2","2","1","2","1","3","3","2","2","4","2","1","1","2","2","1","3","1","4","4","3","1","2","1","3","1","4","2","2","1","3","1","3","4","4","3","4","1","3","1","1","4","2","1","3","4","3","3","4"
"93","Lithuania","THSR","4","4","4","4","2","3","1","2","2","4","3","4","4","2","1","4","1","1","3","3","3","4","1","2","2","2","3","3","3","2","1","4","4","4","1","2","4","1","1","4","1","2","1","2","3","1","4","1","4","4","4","3","2","2","1","4","4","1","4","4","1","1","2","3","1","2","3","4","2","4","2","2","3","4","4","3","3","2","1","2","2","1","2","2","2","3","2","3","1","1","2","2","3","4","1","1","3","1","4","4","4","4","3","3","4","2","3","4","2","4","3","3","4","4","2","1","4","2","2","2","2","3","4","1","2","3","2","2","1","3","1","2","4","4","2","2","3","1","1","1","3","4","2","4","3","2","2","1","2","1","1","2","1","1","3","1","2","3","2","4","1","1","1","1","4","3","3","1","4","4","1","4","3","2","2","4","2","1","2","3","4","1","1","2","1","3","2","4","2","2","4","1","1","1","4","2","1","4","2","2","2","3","4","3","1","3","2","3"
"94","Luxembourg","THSR","3","2","4","4","1","4","3","1","1","1","4","1","2","1","3","1","3","1","3","1","1","3","3","3","1","2","4","1","3","3","3","4","4","4","2","3","3","2","3","2","2","2","1","4","1","3","1","4","1","2","2","3","3","4","4","3","2","4","4","1","1","2","2","1","1","1","4","1","4","2","1","1","2","4","2","4","1","1","2","2","1","3","3","4","1","4","2","4","4","3","4","2","4","4","3","4","2","3","1","4","2","1","3","1","3","4","4","2","2","3","4","4","4","3","2","4","1","1","4","3","3","3","2","2","2","4","3","4","2","1","4","2","4","2","3","2","4","3","1","3","2","2","2","3","1","3","1","1","4","4","3","4","2","1","4","4","1","1","3","4","2","2","4","3","4","3","4","2","2","2","2","2","1","4","1","3","2","2","1","4","1","2","4","4","2","3","2","3","2","4","4","3","4","2","3","2","4","4","4","1","2","3","1","4","3","2","4","3"
"95","Macao, China","VFR","1","1","1","4","1","2","3","4","1","3","3","1","2","2","4","1","2","3","3","3","2","3","3","1","2","2","4","2","1","4","3","4","1","1","4","3","3","1","4","2","3","3","4","1","2","3","4","2","3","2","3","2","1","3","4","4","1","4","1","2","2","4","1","1","4","4","2","3","2","4","2","4","4","4","4","3","1","3","4","1","1","1","3","3","3","3","3","4","4","3","3","2","4","2","2","4","1","4","1","4","1","1","2","3","4","4","2","1","4","2","4","3","4","3","2","2","1","4","2","2","4","3","1","3","3","2","1","1","4","3","3","3","3","1","4","1","2","2","4","4","2","3","4","3","4","1","1","2","2","2","4","4","2","3","1","3","4","2","1","1","2","2","3","4","1","2","4","4","4","1","1","1","1","1","3","1","3","3","2","3","1","2","1","3","1","1","4","3","1","3","1","2","1","3","2","3","1","4","3","4","2","1","3","2","1","2","4","4"
"96","Madagascar","TFN","1","1","3","3","3","3","4","4","1","3","2","3","3","3","2","2","4","4","2","1","3","1","4","1","2","3","1","2","4","3","2","1","4","3","4","3","1","3","2","4","1","1","1","3","1","2","3","1","4","3","2","3","1","3","1","4","1","1","2","3","1","3","4","3","3","2","3","1","4","2","2","1","3","4","3","1","1","3","3","2","3","4","4","4","3","3","2","1","2","3","1","4","4","2","2","3","3","1","1","4","2","1","3","4","4","1","4","1","3","3","1","4","3","3","4","4","4","3","1","4","1","3","1","2","1","2","2","1","3","4","1","2","1","1","4","2","1","4","2","3","2","1","4","2","3","3","2","4","3","4","1","4","3","1","1","4","1","4","4","4","3","4","3","2","2","2","3","2","3","4","3","4","2","2","1","4","3","3","2","3","3","1","2","3","2","4","4","2","1","4","2","1","2","4","1","1","2","4","2","3","4","4","1","4","4","1","4","1"
"97","Malaysia","TFN","1","1","3","4","1","1","3","2","2","1","3","4","4","3","3","2","1","3","1","1","1","3","4","4","3","2","2","1","1","2","1","1","4","3","3","1","3","4","1","4","1","3","3","3","2","2","2","3","1","3","3","2","3","4","2","4","4","3","4","1","4","3","4","3","2","2","1","4","2","2","1","3","4","4","3","2","4","2","4","2","2","4","1","4","3","4","2","1","1","3","4","1","3","1","4","4","4","2","2","4","4","1","3","2","2","3","4","2","4","4","3","3","4","3","1","3","1","1","2","4","4","3","4","1","3","2","1","2","2","3","2","3","1","1","2","3","2","3","4","2","3","2","2","4","4","4","4","3","3","1","1","1","4","1","2","1","1","1","3","4","4","3","4","2","4","1","2","1","1","2","3","4","3","1","4","1","1","4","3","4","3","1","3","2","1","4","4","1","1","2","3","4","3","4","2","4","3","1","1","2","4","1","1","1","1","1","4","2"
"98","Maldives","TFN","3","4","2","1","2","4","1","4","2","2","1","2","4","4","3","3","3","2","3","4","4","4","1","4","1","3","2","4","2","1","1","4","3","2","4","1","1","1","4","1","4","1","2","2","1","3","1","2","3","3","4","4","3","2","1","3","2","4","3","3","2","4","4","2","2","4","1","2","4","2","1","3","1","2","1","3","4","4","3","3","4","3","1","2","3","4","1","4","2","4","1","3","3","2","4","3","2","1","2","4","3","2","1","4","2","4","1","1","4","4","3","2","4","3","4","2","1","3","1","2","1","1","4","3","4","1","2","3","1","3","3","2","2","3","1","2","2","3","3","1","4","1","1","3","4","2","2","3","1","1","1","1","3","1","1","2","3","2","4","2","1","3","4","4","4","2","1","3","3","4","4","2","1","3","3","3","1","2","2","3","3","3","1","2","4","3","3","1","3","2","2","4","2","2","4","2","2","2","3","2","4","4","3","1","1","1","3","2"
"99","Mali","THSR","4","3","1","4","1","1","4","4","3","1","2","4","2","1","3","4","1","4","3","2","1","2","1","4","3","1","4","4","3","3","3","3","3","1","3","2","4","1","3","4","2","4","4","3","1","2","3","1","3","1","2","4","2","3","3","1","1","1","4","1","2","1","2","2","1","3","2","2","3","4","3","3","3","3","3","4","1","1","3","3","2","1","1","1","2","2","3","4","1","1","3","1","1","1","4","3","1","4","3","2","4","4","3","3","4","4","2","3","2","2","1","4","3","3","1","2","2","3","3","2","1","4","2","3","4","4","1","3","2","1","2","3","4","4","1","3","4","3","3","1","3","1","2","2","2","2","2","1","1","4","4","1","3","1","3","4","4","3","2","2","4","1","1","2","1","3","2","2","4","2","3","3","4","3","4","1","1","4","1","2","2","4","1","3","3","2","1","3","1","3","3","2","3","2","2","4","3","2","1","1","4","1","2","4","2","1","2","2"
"100","Malta","TFR","4","1","2","3","2","3","3","2","4","4","1","3","3","3","2","2","3","4","1","2","4","2","4","3","2","3","4","2","4","2","4","2","4","2","2","2","1","4","3","4","2","4","2","4","1","1","4","4","3","2","3","2","2","4","3","4","2","3","2","3","4","4","3","1","3","2","2","4","4","2","1","1","3","1","1","1","3","3","1","2","4","3","3","2","1","1","2","1","4","4","3","1","2","2","1","1","2","2","2","2","1","1","4","2","4","4","2","3","2","4","1","4","3","1","3","1","1","4","4","1","3","2","4","3","1","4","3","2","3","2","4","4","3","3","1","1","2","2","3","3","3","1","1","2","3","4","4","2","1","3","1","4","3","3","3","2","3","2","2","2","2","2","3","2","4","1","1","1","1","1","2","4","4","3","1","1","3","4","3","1","1","2","1","1","2","2","3","2","2","4","2","3","4","2","1","4","1","4","4","3","2","3","4","3","3","1","3","2"
"101","Martinique","THSR","2","3","3","4","4","2","1","2","1","1","2","4","1","4","2","4","2","1","1","1","2","4","3","2","2","2","4","4","4","1","3","3","3","4","1","4","4","1","1","4","3","4","1","2","4","3","3","3","4","1","3","3","4","4","1","3","2","3","3","1","4","3","2","2","1","4","4","2","2","4","4","2","3","2","3","4","3","4","2","3","4","4","4","4","4","2","3","2","4","2","2","4","1","2","4","1","1","3","1","4","2","1","1","4","4","1","3","2","2","1","3","3","4","2","1","1","4","4","1","1","4","3","3","3","4","2","3","3","4","3","2","2","1","2","2","3","1","4","2","4","2","4","2","3","2","3","1","3","4","1","3","3","4","1","1","1","3","4","1","1","2","3","1","3","4","1","1","1","2","3","2","1","1","3","4","4","4","1","3","2","3","2","2","3","3","3","2","3","4","1","1","4","1","2","1","4","3","3","2","4","4","1","1","2","1","4","2","3"
"102","Mauritius","TFR","2","4","1","3","4","4","3","2","3","2","4","3","2","2","1","2","1","1","2","3","1","2","4","3","2","4","1","2","1","1","4","3","2","3","4","2","3","3","1","1","4","4","1","2","2","3","2","4","1","4","3","3","1","1","1","1","2","3","4","1","2","2","2","4","1","4","1","3","3","4","3","3","4","2","2","4","1","3","4","2","4","4","4","3","2","2","3","2","1","1","4","1","1","3","2","1","3","2","3","2","2","3","2","1","3","1","4","2","1","3","1","4","2","2","2","3","4","4","2","4","4","3","3","1","1","3","4","4","3","3","2","4","4","4","3","1","2","1","4","1","3","2","4","3","3","2","2","1","3","3","3","4","2","4","2","2","2","4","3","2","3","3","3","2","1","1","1","1","3","4","3","1","1","1","3","2","1","1","3","3","1","4","3","4","4","1","4","2","4","4","4","4","3","3","2","4","2","4","2","3","3","3","1","2","4","3","1","3"
"103","Mexico","TFR","1","3","4","3","3","2","4","2","4","4","2","3","4","2","2","1","1","4","3","1","2","3","4","3","4","4","2","3","1","1","4","2","3","2","2","3","2","1","3","1","3","1","2","3","2","1","3","4","1","4","2","4","1","2","4","4","2","4","1","1","1","4","1","1","4","3","3","3","2","1","3","2","3","1","2","1","1","2","3","4","3","1","1","3","3","1","1","4","1","3","4","4","4","3","3","2","2","1","1","1","4","4","2","1","4","1","2","1","2","1","2","2","1","2","3","2","4","3","1","3","1","3","1","4","1","4","3","2","3","1","1","1","1","3","1","2","3","2","2","2","2","1","1","1","2","3","2","2","2","3","1","3","1","2","3","1","3","1","1","3","1","3","3","1","2","4","4","3","1","3","1","4","4","3","4","3","1","1","1","4","1","4","1","2","4","1","2","3","1","2","3","1","3","1","2","1","2","4","1","3","3","4","4","2","4","4","3","4"
"104","Moldova, Republic of","TCEN","3","4","2","1","3","4","1","1","1","4","4","3","1","1","1","1","2","2","3","2","3","1","1","4","1","1","3","2","3","3","2","1","1","4","4","2","4","3","2","2","3","3","3","4","4","3","1","2","1","2","3","1","2","1","2","4","4","4","3","2","2","1","3","1","2","4","4","4","2","4","4","1","4","1","3","2","4","4","4","1","4","4","1","1","2","4","1","2","4","1","1","4","1","1","2","1","4","3","4","4","4","2","1","4","1","2","1","3","1","4","4","2","3","3","3","1","2","4","3","4","2","4","3","4","4","4","4","1","2","4","2","2","2","3","3","3","2","4","4","3","4","1","4","3","3","3","2","1","3","4","4","4","3","1","2","3","1","1","3","3","1","2","3","1","3","4","3","4","3","3","1","2","2","3","2","2","1","3","1","3","1","2","3","4","1","2","4","2","2","3","4","4","2","2","3","1","4","3","4","3","3","3","1","4","1","3","4","4"
"105","Monaco","THSN","2","1","4","1","1","3","3","1","2","4","3","3","1","4","4","2","4","3","3","1","3","1","2","3","3","4","2","4","4","3","4","4","4","2","4","1","1","4","2","2","4","3","1","1","3","2","1","2","2","4","2","4","2","1","2","3","4","2","1","3","2","3","2","1","1","1","3","4","1","1","1","2","2","2","1","4","3","2","2","1","3","1","4","4","3","3","1","3","1","2","2","4","2","1","3","1","1","1","1","4","2","2","2","1","3","2","3","1","4","2","4","1","1","2","3","4","2","3","1","4","3","3","2","2","3","3","4","2","2","2","1","2","1","3","2","4","2","2","3","3","1","4","2","3","3","3","4","1","2","1","4","4","2","3","1","3","4","4","3","2","3","2","1","1","2","2","2","4","1","1","2","1","1","4","1","1","2","4","3","1","2","1","1","4","4","3","3","3","2","4","4","1","4","2","3","4","1","1","2","4","1","2","1","1","1","1","4","4"
"106","Mongolia","VFN","2","4","3","1","3","4","2","1","3","1","3","3","2","4","1","1","4","2","3","2","3","4","2","2","4","3","4","4","4","4","4","3","2","3","3","1","2","2","1","3","2","4","1","4","1","3","3","2","4","1","2","4","3","2","2","2","2","1","4","1","2","1","1","3","2","2","3","2","3","1","2","2","1","3","1","1","3","2","3","1","4","4","3","4","3","1","4","2","2","2","2","3","2","4","4","1","4","1","3","4","3","3","1","3","1","1","1","1","4","4","1","3","2","4","4","2","1","3","4","4","4","1","1","1","1","2","3","1","3","3","4","2","4","3","4","3","3","2","3","4","1","3","1","4","1","1","3","2","2","4","4","4","4","3","3","4","3","3","4","2","1","2","3","1","1","2","1","1","2","2","2","4","4","2","4","1","2","4","1","1","4","3","1","1","4","2","4","2","1","2","4","4","3","4","2","3","4","4","3","2","2","4","4","4","1","1","4","3"
"107","Montenegro","THSN","1","4","4","1","1","4","3","4","3","3","2","2","1","4","2","1","2","1","2","3","1","2","4","2","1","2","2","1","2","2","3","4","4","4","1","4","4","2","1","2","2","1","1","2","4","2","4","4","1","4","2","3","2","1","3","1","3","3","2","2","3","1","3","2","1","2","1","3","4","3","4","2","4","1","4","2","4","4","1","3","1","4","2","4","1","2","1","1","4","1","1","1","1","2","1","2","2","2","3","2","4","4","3","3","3","4","3","1","4","3","3","1","4","2","3","4","1","4","1","1","3","2","1","3","4","1","4","3","1","4","3","1","2","1","1","1","1","2","4","1","3","4","3","2","4","2","2","2","1","2","3","1","3","1","2","4","3","3","3","2","1","2","1","1","3","3","2","3","3","4","1","4","3","3","3","2","2","2","1","2","3","4","4","3","4","2","1","3","4","1","3","2","1","3","2","1","2","3","2","4","3","3","4","1","3","4","3","1"
"108","Montserrat","VFR","4","2","3","4","2","1","4","1","1","1","2","4","2","1","1","4","1","4","2","4","3","3","1","2","3","4","2","2","2","4","4","2","2","4","1","3","2","4","3","2","3","2","3","2","2","3","3","3","2","1","4","4","2","1","2","2","1","1","4","4","1","4","1","2","4","3","4","2","3","1","1","2","4","1","3","2","4","1","3","2","3","2","1","2","2","2","1","4","4","1","1","2","1","2","2","1","1","4","2","3","2","3","3","4","2","2","3","3","2","2","1","1","3","1","1","2","4","1","1","2","1","2","4","2","1","2","4","2","1","2","4","2","2","2","3","2","4","3","1","2","4","4","1","4","3","4","4","2","3","4","3","1","3","1","4","1","3","3","3","2","4","2","3","3","4","2","4","1","2","1","3","1","4","3","2","2","4","3","4","3","2","2","3","1","1","3","3","4","3","4","3","2","3","4","2","3","4","1","2","4","4","4","1","4","2","4","3","4"
"109","Morocco","THSN","4","2","2","4","4","2","1","4","2","3","1","3","2","4","2","4","4","1","1","2","2","4","2","4","3","3","3","3","2","1","4","4","4","2","3","4","4","2","1","4","2","4","3","3","4","1","2","3","1","1","2","3","4","3","3","2","3","4","1","2","2","4","3","1","1","1","3","4","2","2","4","2","1","2","4","2","3","3","1","3","2","1","3","1","3","2","3","2","3","3","1","3","1","1","1","1","3","2","3","1","3","1","3","1","4","2","3","4","1","4","1","1","1","4","4","4","4","3","4","4","3","4","2","1","3","1","2","2","2","1","2","2","3","3","2","3","3","1","2","1","1","4","2","3","2","3","3","2","2","1","3","3","3","4","4","4","3","3","2","3","1","2","1","2","4","3","2","3","4","3","3","4","4","1","3","2","2","1","1","2","1","3","4","1","3","4","1","2","3","1","4","3","1","4","3","4","3","1","4","3","2","2","1","3","1","2","4","1"
"110","Mozambique","VFR","4","2","3","2","1","3","1","1","2","3","4","1","3","1","4","1","2","1","2","2","3","1","3","3","4","2","4","2","2","4","1","3","4","3","4","3","2","2","2","3","3","2","4","3","1","1","4","2","1","3","3","4","3","3","1","3","3","3","3","4","3","3","1","3","2","2","3","2","2","1","4","3","2","3","3","4","2","1","2","4","3","2","1","1","4","2","2","1","1","1","4","2","4","4","2","2","4","4","3","3","2","4","1","3","1","1","4","3","1","4","3","4","1","1","3","2","4","2","3","3","1","1","4","4","2","2","2","2","4","1","2","2","2","4","3","3","2","3","4","4","3","1","1","1","2","4","2","3","4","4","4","1","4","1","1","3","3","1","4","2","4","2","3","1","1","3","1","3","1","1","1","4","2","4","1","4","1","4","1","2","2","3","3","3","3","2","4","1","2","1","2","2","2","4","3","3","4","3","3","2","3","1","1","1","2","3","2","1"
"111","Myanmar","TFN","3","3","3","2","3","3","4","1","1","3","1","1","4","1","1","1","1","4","3","4","4","2","3","2","4","2","3","2","1","3","4","1","3","1","1","2","2","3","3","4","4","3","1","2","1","3","4","2","3","1","3","4","4","4","3","3","2","4","2","2","4","3","4","2","4","3","2","4","4","4","3","1","2","4","1","1","3","3","1","1","4","2","3","4","4","3","3","3","3","2","3","2","1","2","1","3","3","3","1","4","3","3","1","1","1","2","4","1","1","3","1","2","1","2","2","4","1","3","1","4","3","4","1","1","3","1","2","4","2","4","2","4","2","3","2","1","3","1","3","1","4","1","2","4","3","2","4","3","1","4","3","3","1","3","1","4","4","4","3","4","3","3","3","3","4","4","4","4","3","1","2","2","4","2","4","4","3","4","3","1","3","4","1","1","1","4","1","2","2","2","4","4","1","3","2","3","2","1","4","2","3","2","3","4","3","3","1","1"
"112","Namibia","VFN","3","2","1","1","4","4","4","2","1","1","2","1","2","2","2","3","1","2","3","3","3","3","4","3","3","4","3","4","2","2","2","3","1","4","3","4","1","2","4","1","1","4","2","1","1","1","4","1","1","1","3","1","4","4","4","2","3","3","3","2","3","1","2","1","1","1","1","2","1","1","1","2","1","4","2","4","3","3","1","1","3","3","4","4","3","4","1","2","3","1","3","4","1","4","1","3","3","4","2","4","1","3","2","1","4","2","4","1","4","1","3","3","2","4","1","4","3","1","2","1","1","1","3","1","4","4","1","1","1","1","4","4","4","4","3","3","2","4","3","4","1","2","1","4","1","4","2","4","3","1","4","1","2","3","3","4","1","2","1","2","4","1","2","3","1","2","2","2","1","3","1","4","1","4","2","1","2","4","3","3","1","3","4","2","1","1","1","4","4","2","2","2","3","1","3","1","1","2","4","3","3","4","3","1","4","4","2","3"
"113","Nepal","TFN","1","4","2","1","3","1","4","2","3","1","4","4","1","2","2","2","2","1","2","3","4","3","4","4","3","4","3","1","3","2","2","4","4","4","4","4","2","1","4","1","4","3","4","3","1","1","2","3","4","2","2","2","3","2","1","2","2","3","3","1","4","3","4","3","1","4","4","2","3","3","2","2","3","1","3","4","2","1","1","1","3","4","3","4","2","1","4","3","1","4","3","4","2","4","4","2","2","1","2","1","2","2","3","4","3","4","3","4","2","4","4","3","3","1","4","3","4","4","3","2","3","3","2","2","1","2","2","4","1","2","2","3","4","2","4","2","4","3","4","2","2","3","1","3","4","1","1","3","4","4","3","1","1","4","4","1","2","1","3","2","3","1","4","3","2","3","4","1","3","2","2","1","3","2","4","2","2","1","2","2","4","2","1","3","2","2","2","3","3","3","3","1","3","2","3","2","4","2","4","4","1","2","4","3","1","4","1","2"
"114","Netherlands","THSR","3","4","1","1","1","4","2","3","1","3","2","3","3","4","2","3","4","1","4","3","3","3","1","2","4","4","4","1","3","2","1","2","4","3","4","4","4","4","1","1","1","2","2","4","4","3","2","2","1","1","3","2","2","3","2","4","4","4","4","2","2","1","3","1","1","1","3","3","1","4","1","1","1","3","4","2","3","3","2","2","1","2","4","3","1","3","3","1","4","2","3","2","2","4","4","1","3","3","4","4","3","1","1","1","1","3","2","1","4","4","1","3","1","2","3","2","2","2","3","3","4","1","2","1","2","2","2","4","2","4","1","4","1","2","3","4","4","2","4","3","3","4","1","2","1","2","3","2","2","3","3","3","2","4","1","2","4","2","3","4","4","3","3","4","1","1","1","2","1","3","2","3","1","3","4","4","4","2","4","4","2","4","4","4","4","4","3","2","1","3","4","2","3","3","2","2","3","2","3","2","3","3","3","3","2","4","1","1"
"115","New Caledonia","TFR","4","1","3","4","3","3","3","3","2","1","4","3","2","4","1","1","4","3","2","3","4","1","1","4","3","2","4","1","4","2","1","4","2","1","4","1","4","4","1","2","2","3","1","4","3","3","1","3","3","1","1","2","4","4","1","1","3","1","4","3","3","2","3","2","1","4","1","4","4","3","2","4","1","3","4","4","2","2","1","2","4","3","3","3","1","3","2","1","3","2","1","3","2","2","1","1","2","1","3","3","1","3","2","4","4","3","3","2","4","2","1","4","1","2","2","2","1","3","3","3","3","4","3","1","2","4","1","4","4","4","2","2","3","2","3","1","3","3","3","2","1","4","2","1","3","1","1","3","4","3","1","4","4","2","3","4","1","4","3","1","2","3","4","3","4","3","4","2","1","2","4","3","4","3","3","2","4","2","1","1","4","4","3","3","4","3","1","4","4","2","1","3","1","3","3","2","1","4","4","2","4","1","2","1","3","1","2","3"
